Butter Rich Spritz Butter Cookies,"These are wonderful cookies from the press. They are rich in flavor. My mom has made these cookies for years for all of the holidays. She even used food coloring for the different designs, like green trees, etc.The kids love to decorate them as much as they love to eat them.",4.2,"",[ ]
Peanut Butter Pie,This peanut butter refrigerator pie is very easy to make.,4.8,"",[ ]
Passover Choco-Nut Mandel Bread,"This recipe makes a buttery, rich mandel bread studded with chocolate chips and nuts. You can make it even more elegant by dipping each end into melted semisweet chocolate after being baked and cooled.",4.9,15 mins,[X]
The Best Banana Pudding,This no-cook banana pudding recipe is easy to make and delicious layered with vanilla wafers and slices of banana. It's the best banana pudding you will ever find (or so I've been told by many)!,4.7,25 mins,[ ]
Pasta al carbonara,des pates avec des lardos,4.3,15 min,[ ]
dededed,dedede,dedede,dededede,[ ]
efefe,fefefe,fefefe,fefeef,[ ]
Sexy Fish Stew,"This simple fish and potato stew is great for you less-than-confident cooks, since your timing doesn't need to be that precise.",4.9,20 mins,[ ]
Choco-Coconut Bar Cookies,This recipe for coconut bar cookies came to me from my maternal Gramie Watson and quickly became a most-requested item at the kids' schools as well as at church and other venues where it was sampled.,4.6,10 mins,[ ]
Jamaican Curry Chicken,"I couldn't find a recipe I liked, so here is my family's version of 'curried' chicken. It brings back memories of a childhood spent enjoying food there, where there were very few dishes I wouldn't eat, vegetables or not. This dish is traditionally served on white rice or in a roti, but feel free to get creative!",4.7,20 mins,[ ]
Italian Lemon Cream Cake,"I enjoyed a lemon cream cake at a popular Italian restaurant so much that I wanted to recreate it at home. It is a white cake topped with vanilla crumbs and filled with rich lemon cream. After a few attempts, this is the version that I like best. It uses a white cake mix to cut preparation time. Store cake in the refrigerator.",4.8,20 mins,[ ]
